client_id,vendor_number,country_code,name_line_1,name_line_2,name_line_3,name_line_4,city,ort02,pfach,pstl2,postal_code,region,search_term,street,address_number,mcod1,mcod2,mcod3,anred,bahns,bbbnr,bbsnr,begru,brsch,bubkz,datlt,dtams,dtaws,created_date,created_by,esrnr,konzs,ktokk,customer_number,lnrza,loevm,sperr,sperm,language_code,stcd1,stcd2,stkza,stkzu,telbx,telf1,telf2,telfx,teltx,telx1,xcpdk,xzemp,vbund,fiskn,stceg,stkzn,sperq,gbort,gbdat,sexkz,kraus,revdb,qssys,ktock,pfort,plant_code,ltsna,werkr,plkal,duefl,txjcd,sperz,scacd,sfrgr,lzone,xlfza,dlgrp,fityp,stcdt,regss,actss,stcd3,stcd4,stcd5,stcd6,ipisp,taxbs,profs,stgdl,emnfr,lfurl,j_1kfrepre,j_1kftbus,j_1kftind,confs,updat,uptim,nodel,qssysdat,podkzb,fisku,stenr,carrier_conf,min_comp,term_li,crc_num,cvp_xblck,rg,exp,uf,rgdate,ric,rne,rnedate,cnae,legalnat,crtn,icmstaxpay,indtyp,tdt,comsize,decregpc,j_sc_capital,j_sc_currency,alc,pmt_office,ppa_relevant,sam_ue_id,sam_eft_ind,psofg,psois,pson1,pson2,pson3,psovn,psotl,psohs,psost,transport_chain,staging_time,scheduling_type,submi_relevant,operation_flag,is_deleted,record_timestamp
800,0000001111,US,Suppliers Inc.,,,,NILES,COOK,,,60714,,AUTO/PUMPE,12 Western Avenue,7161,SUPPLIERS INC.,,NILES,,,0.0,0.0,,MBAU,0.0,,,,1998-05-06,ASCHE,,,0001,0000001111,,,,,D,,,,,,03266-288817,,03266-172777,,,,,,,DE435252456,,,,,,210081725.0,,,,,,,,,X,1403120601,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003920,US,Pyramid Systems,,,,SANTA CLARA,SANTA CLARA,,,95050,CA,PYRAMID SY,3912 N. First Av.,6989,PYRAMID SYSTEMS,,SANTA CLARA,,,0.0,0.0,,,0.0,,,,1994-11-07,SACHSE,,,0001,,,,,,E,,,,,,408 - 364 3224,,408 - 364 3299,,,,,,,,,,,,,,,,,,,,,,X,0508531801,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003411,US,Delta Steel Inc.,,,,HOUSTON,MATANUSKA-SUSITNA BO,,,99694,AK,STEEL,Baker Str.,9636,DELTA STEEL INC.,,HOUSTON,Company,,0.0,0.0,,0002,0.0,,,,1999-08-04,KUERSTEN,,,0001,,,,,,E,,,,,,1404257827,,1404257827,,,,,,,US-11111211,,,,,,,,,,,,,,,X,0217008451,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003020,US,World Wide Computer Warehouse,,,,SAN JOSE,SANTA CLARA,,,95120,CA,SOFT,101 North Industrial Drive,7097,WORLD WIDE COMPUTER WAREH,,SAN JOSE,Company,,0.0,0.0,,HITE,0.0,,,,1996-07-26,ODABASHIAN,,,0001,,,,,,E,,,,,,408-279-0000,,408-279-1000,,,,X,,,,,,,,,,,,,,,,,,X,0508530701,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,AVPL,US,American Vice President Line,Global Shipping,,,Oakland,ALAMEDA,,,94607,CA,APL,1234 Water Street,65845,AMERICAN VICE PRESIDENT L,GLOBAL SHIPPING,OAKLAND,Company,,0.0,0.0,,TRAN,0.0,,,,2008-07-22,I807478,,,0005,,,,,,E,,,,,,510-272-1100,,510-272-1111,,,,,,,,,,,,,,,,,,,,,,X,0500123501,,AVPL,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000100560,US,Infix Co.,,,,San Diego,,,,92121,CA,INFIX CO.,365 E Evelyn Ave,727337,INFIX CO.,,SAN DIEGO,,,0.0,0.0,,,0.0,,,,2015-04-09,BLACKM,,,KRED,,,,,,E,,,,,,415 - 521 3318,,415 - 521 3399,,,,,,,,,,,,,,,,,,,,,,X,0507330201,,,,0000000004,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,Infix Co.,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000100024,PA,Linda Smythe,,,,Provincia de Panamá,,60521,60521,811,,LS,Calle Parita,7061,LINDA SMYTHE,,PROVINCIA DE PANAMÁ,,,0.0,0.0,,,0.0,,,,1996-03-21,BECKERO,,,KRED,,,,,,E,,,,,,708-655-3137,,708-655-3409,,,,,,,,,,,,,,,,,,,,,,X,1403745411,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000100010,US,Linda Smythe,,,,HINCKLEY,DE KALB,60521,60521,60520,IL,DELETE,1905 Midwest Club,7109,LINDA SMYTHE,,HINCKLEY,,,0.0,0.0,,,0.0,,,,1996-02-06,SCHMIDT,,,KRED,,,X,,,E,,,,,,708-655-3137,,708-655-3409,,,,,,,,,,,,,,,,,,,,,,X,1403745411,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,SMIVENDOR,US,SMIVENDOR,,,,WICHITA,SEDGWICK,,,67214,KS,SMI VENDOR,100 Ohio Street,44395,SMIVENDOR,,WICHITA,,,0.0,0.0,,,0.0,,,,2003-10-02,MICHALSKY,,,VEND,,,,,,E,,,,,,316-522-4983,,316-524-2732,,,,,,,,,,,,,,,,,,3600,,,,X,1717308601,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,A,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,S101,US,Software Development  and Consultin,,,,MARLBORO,ULSTER,,,12542,NY,ISP-CONS,345 Lovett Blvd,9953,SOFTWARE DEVELOPMENT  AND,,MARLBORO,Company,,0.0,0.0,,,0.0,,,,1999-11-04,GRAUENHORST,,,VEND,,,,,,E,,,,,,508-624-6600,,508-229-3345,,,,,,,,,,,,,,,,,,,,,,X,3311167471,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
