client_id,material_number,plant_code,saleable_inventory,open_order_qty,net_available,awd,woc,woc_low_flag
100,000000000000000004,1000,0.0,1.0,0.0,0.6666666666666666,0.0,True
100,000000000000000021,0001,0.0,0.0,0.0,,,False
100,C0000001,1000,3379.0,180.0,3199.0,27.958333333333332,114.42026825633384,False
100,C0000001,2000,2042.0,42.0,2000.0,4.708333333333333,424.7787610619469,False
100,C0000001,3000,2313.0,42.0,2271.0,12.583333333333334,180.47682119205297,False
100,C0000001,4000,2295.0,103.0,2192.0,13.333333333333334,164.4,False
100,C0000001,5000,2001.0,49.0,1952.0,27.041666666666668,72.18489984591679,False
100,C0000002,1000,2015.0,125.0,1890.0,13.0,145.3846153846154,False
100,C0000002,2000,2026.0,54.0,1972.0,5.166666666666667,381.67741935483866,False
100,C0000002,3000,2162.0,36.0,2126.0,19.333333333333332,109.96551724137932,False
100,C0000002,4000,2169.0,83.0,2086.0,18.875,110.51655629139073,False
100,C0000002,5000,2031.0,39.0,1992.0,27.708333333333332,71.89172932330827,False
100,C0000003,1000,0.0,9.0,0.0,4.166666666666667,0.0,True
100,C0000003,2000,0.0,0.0,0.0,,,False
100,C0000004,1000,0.0,20.0,0.0,4.166666666666667,0.0,True
100,C0000004,2000,0.0,0.0,0.0,,,False
100,C0000005,1000,0.0,10.0,0.0,3.75,0.0,True
100,C0000005,2000,0.0,0.0,0.0,,,False
100,C0000006,1000,0.0,1.0,0.0,4.125,0.0,True
100,C0000006,2000,0.0,0.0,0.0,,,False
100,C0000007,1000,0.0,0.0,0.0,,,False
100,C0000007,2000,0.0,0.0,0.0,,,False
100,C0000008,1000,0.0,0.0,0.0,,,False
100,C0000008,2000,0.0,0.0,0.0,,,False
100,C0000009,1000,0.0,0.0,0.0,,,False
100,C0000009,2000,0.0,0.0,0.0,,,False
100,C0000010,1000,0.0,0.0,0.0,,,False
100,C0000010,2000,0.0,0.0,0.0,,,False
100,C0000011,1000,0.0,0.0,0.0,,,False
100,C0000011,2000,0.0,0.0,0.0,,,False
100,C0000012,1000,0.0,0.0,0.0,,,False
100,C0000012,2000,0.0,0.0,0.0,,,False
100,C0000013,1000,0.0,0.0,0.0,,,False
100,C0000013,2000,0.0,0.0,0.0,,,False
100,C0000014,1000,0.0,0.0,0.0,,,False
100,C0000014,2000,0.0,0.0,0.0,,,False
100,C0000015,1000,0.0,0.0,0.0,,,False
100,C0000015,2000,0.0,0.0,0.0,,,False
100,C0000016,1000,1826.0,44.0,1782.0,7.416666666666667,240.2696629213483,False
100,C0000016,2000,1873.0,16.0,1857.0,5.291666666666667,350.9291338582677,False
100,C0000016,3000,2080.0,0.0,2080.0,18.416666666666668,112.94117647058823,False
100,C0000016,4000,2077.0,45.0,2032.0,18.541666666666668,109.59101123595505,False
100,C0000016,5000,2055.0,22.0,2033.0,22.208333333333332,91.5422138836773,False
100,C0000017,1000,1864.0,36.0,1828.0,5.75,317.9130434782609,False
100,C0000017,2000,1891.0,36.0,1855.0,4.541666666666667,408.440366972477,False
